logged_at,fixture_id,league,kickoff,home,away,n_home_starters_matched,n_away_starters_matched,model_p_over25,exp_total_goals,odds_over25,odds_under25
2026-08-23T12:52:28.290505,1552729,F1,2026-08-23T13:00:00+00:00,Angers,Lille,8,10,0.37,2.17,,
2026-08-23T12:52:30.502161,1557373,E0,2026-08-23T13:00:00+00:00,Brighton,Aston Villa,10,10,0.442,2.44,,
2026-08-23T12:52:32.613799,1557374,E0,2026-08-23T13:00:00+00:00,Manchester City,Bournemouth,10,10,0.605,3.13,,
2026-08-23T14:32:28.197773,1570344,SP1,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,10,11,0.56,2.92,,
2026-08-23T17:29:49.583615,1570348,SP1,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,8,11,0.38,2.21,,
2026-08-23T18:35:02.166633,1550088,I1,2026-08-23T18:45:00+00:00,Atalanta,Sassuolo,11,8,0.591,3.06,,
2026-08-23T18:35:06.740329,1552735,F1,2026-08-23T18:45:00+00:00,Rennes,Paris Saint Germain,8,11,0.566,2.95,,
2026-08-23T19:02:23.504805,1570346,SP1,2026-08-23T19:30:00+00:00,Elche,Barcelona,11,10,0.543,2.85,,
2026-08-27T18:14:07.509580,rapid_5868013,SP1,2026-08-27T18:30:00.000Z,Celta Vigo,Osasuna,10,10,0.459,2.51,2.2,1.6,rapidapi,0.421,0.009,-0.134
2026-08-28T18:34:45.655905,1557381,E0,2026-08-28T19:00:00+00:00,Crystal Palace,Manchester City,11,10,0.606,3.14,1.77,2.26,0.561,0.073,-0.111
